Name,Source,Region,Phone,Description,Location,Working_Hours,Latitude,Longitude,Scraped_Date,Beds,Staff_Count
Kasr El Nile Medical Center,N/A,Cairo,201296315221,"Specialized Hospital - Departments: Gastroenterology, Urology, Dermatology","Kasr El Nile, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1313,31.2163,12/5/2025,417,480
Rehab Specialized Hospital,N/A,Giza,201582675798,"Emergency Medical Center - Departments: Ophthalmology, Dentistry, Pharmacy","Rehab, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0308,31.0316,12/5/2025,403,452
Gezira Specialized Hospital,N/A,Cairo,201673670683,"Specialized Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Gezira, Cairo, Greater Cairo",24/7,30.0971,31.3267,12/5/2025,33,217
El Shorouk Diagnostic Center,N/A,Cairo,201148436853,"Diagnostic Center - Departments: ICU, Emergency, Trauma Center","El Shorouk, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0972,31.2411,12/5/2025,388,174
Dokki Teaching Hospital,N/A,Giza,201025414648,"Teaching Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","Dokki, Giza, Greater Cairo",7:00 AM - 9:00 PM,30.0794,31.1876,12/5/2025,494,70
Dokki Medical Center,N/A,Giza,201653583530,"Specialized Hospital - Departments: Cardiology, Emergency Medicine, Oncology","Giza, Giza, Greater Cairo",9:00 AM - 5:00 PM,29.9719,31.1207,12/5/2025,235,205
Dokki General Hospital,N/A,Giza,201599537463,"Private Clinic - Departments: Gastroenterology, Urology, Dermatology","Dokki, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,29.9785,31.1218,12/5/2025,82,86
Nasr City Surgical Hospital,N/A,Cairo,201186560003,"Emergency Medical Center - Departments: Cardiology, Emergency Medicine, Oncology","Nasr City, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.1006,31.2136,12/5/2025,300,348
Agouza Medical Center,N/A,Giza,201627464738,"Medical Center - Departments: ICU, Emergency, Trauma Center","Agouza, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,3097,31.1602,12/5/2025,30,426
New Cairo Surgical Hospital,N/A,Cairo,201240884553,"Emergency Medical Center - Departments: Cardiology, Emergency Medicine, Oncology","New Cairo, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.1334,31.2476,12/5/2025,203,245
Helwan Surgical Hospital,N/A,Giza,201191936783,"Teaching Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Helwan, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0481,31.102,12/5/2025,256,441
October 6th Diagnostic Center,N/A,Giza,201549738392,"Teaching Hospital - Departments: Pediatrics, Obstetrics, Anesthesia","October 6th, Giza, Greater Cairo",8:00 AM - 8:00 PM,29.9786,3162,12/5/2025,278,481
New Cairo Private Clinic,N/A,Cairo,201529020132,"Emergency Medical Center - Departments: Cardiology, Emergency Medicine, Oncology","New Cairo, Cairo, Greater Cairo",9:00 AM - 5:00 PM,30.1258,31.2699,12/5/2025,404,320
October 6th Private Clinic,N/A,Giza,201515371033,"Surgical Hospital - Departments: ICU, Emergency, Trauma Center","October 6th, Giza, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,29.9572,31.0853,12/5/2025,219,271
Garden City Private Clinic,N/A,Cairo,201117138362,"General Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Garden City, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.0489,31.2647,12/5/2025,270,305
Nasr City Teaching Hospital,N/A,Cairo,201168733573,"Medical Center - Departments: ICU, Emergency, Trauma Center","Nasr City, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1241,31.2398,12/5/2025,309,397
New Giza Specialized Hospital,N/A,Giza,201192713224,"Emergency Medical Center - Departments: Radiology, Pathology, Lab Services","New Giza, Giza, Greater Cairo",9:00 AM - 5:00 PM,30.0808,31.0308,12/5/2025,487,464
New Cairo General Hospital,N/A,Cairo,201233081563,"Surgical Hospital - Departments: ICU, Emergency, Trauma Center","New Cairo, Cairo, Greater Cairo",24/7,30.0999,31.3392,12/5/2025,178,422
Khanka Specialized Hospital,N/A,El Qalyubia,201658626502,"Diagnostic Center - Departments: Gastroenterology, Urology, Dermatology","Khanka, El Qalyubia, Greater Cairo",8:00 AM - 8:00 PM,30.1762,31.2871,12/5/2025,339,453
Qalyub Emergency Medical Center,N/A,El Qalyubia,201529666025,"General Hospital - Departments: Gastroenterology, Urology, Dermatology","Qalyub, El Qalyubia, Greater Cairo",9:00 AM - 5:00 PM,30.0945,31.2054,12/5/2025,195,82
Shubra Private Clinic,N/A,El Qalyubia,201642434488,"Private Clinic - Departments: Pediatrics, Obstetrics, Anesthesia","Shubra, El Qalyubia, Greater Cairo",7:00 AM - 9:00 PM,30.0558,31.1587,12/5/2025,128,216
Downtown Teaching Hospital,N/A,Cairo,201072846978,"Teaching Hospital - Departments: ICU, Emergency, Trauma Center","Downtown, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.0264,31.2206,12/5/2025,155,254
Bab El-Sheria Specialized Hospital,N/A,El Qalyubia,201219669993,"Specialized Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Bab El-Sheria, El Qalyubia, Greater Cairo",7:00 AM - 9:00 PM,30.2059,31.2569,12/5/2025,116,336
Heliopolis Specialized Hospital,N/A,Cairo,201651392381,"Emergency Medical Center - Departments: Orthopedics, Surgery, Internal Medicine","Heliopolis, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.0233,31.2906,12/5/2025,40,413
Shubra General Hospital,N/A,El Qalyubia,201125097361,"General Hospital - Departments: Gastroenterology, Urology, Dermatology","Shubra, El Qalyubia, Greater Cairo",24/7,30.2339,31.1493,12/5/2025,28,328
Helwan Private Clinic,N/A,Giza,201019573769,"Diagnostic Center - Departments: Pediatrics, Obstetrics, Anesthesia","Helwan, Giza, Greater Cairo",9:00 AM - 5:00 PM,30.0675,31.0995,12/5/2025,98,249
Downtown Private Clinic,N/A,Cairo,201693474160,"Private Clinic - Departments: Cardiology, Emergency Medicine, Oncology","Downtown, Cairo, Greater Cairo",7:00 AM - 9:00 PM,30.1281,31.2464,12/5/2025,437,218
El Shorouk Emergency Medical Center,N/A,Cairo,201147587549,"Medical Center - Departments: Radiology, Pathology, Lab Services","El Shorouk, Cairo, Greater Cairo",24/7,30.0523,31.25,12/5/2025,91,312
Toukh Diagnostic Center,N/A,El Qalyubia,201571672534,"Emergency Medical Center - Departments: Neurology, Psychiatry, ENT","Toukh, El Qalyubia, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1432,31.1424,12/5/2025,452,464
Downtown General Hospital,N/A,Cairo,201242392471,"Specialized Hospital - Departments: Orthopedics, Surgery, Internal Medicine","Downtown, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0524,31.2116,12/5/2025,338,335
Mahalla General Hospital,N/A,El Qalyubia,201687534700,"Medical Center - Departments: ICU, Emergency, Trauma Center","Mahalla, El Qalyubia, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.1355,31.1315,12/5/2025,431,125
Nasr City Specialized Hospital,N/A,Cairo,201026364390,"Diagnostic Center - Departments: Gastroenterology, Urology, Dermatology","Nasr City, Cairo, Greater Cairo",8:00 AM - 10:00 PM,30.0261,31.2214,12/5/2025,376,172
Nasr City Private Clinic,N/A,Cairo,201581598613,"Emergency Medical Center - Departments: Orthopedics, Surgery, Internal Medicine","Nasr City, Cairo, Greater Cairo",8:00 AM - 8:00 PM,30.0516,31.3345,12/5/2025,484,420
Fifth Settlement Emergency Medical Center,N/A,Cairo,201045520154,"Diagnostic Center - Departments: Pediatrics, Obstetrics, Anesthesia","Fifth Settlement, Cairo, Greater Cairo",24/7,30.0552,31.2259,12/5/2025,494,438
Garden City Diagnostic Center,N/A,Cairo,201184211691,"General Hospital - Departments: Ophthalmology, Dentistry, Pharmacy","Garden City, Cairo, Greater Cairo",24/7 Emergency / 8:00 AM - 6:00 PM Outpatient,30.0177,31.2121,12/5/2025,378,377
